A man standing in front of a building on the phone as two men to the side pain on the side.	two girls walk through a hall	contradiction
A man standing in front of a building on the phone as two men to the side pain on the side.	a busy man stands with bodyguards	neutral
The two young girls are dressed as fairies, and are playing in the leaves outdoors.	Girls are playing outdoors.	entailment
The two young girls are dressed as fairies, and are playing in the leaves outdoors.	Two girls play dress up indoors.	contradiction
The two young girls are dressed as fairies, and are playing in the leaves outdoors.	The two girls play in the Autumn.	neutral
People jump over a mountain crevasse on a rope.	Some people look visually afraid to jump.	neutral
People jump over a mountain crevasse on a rope.	People are jumping outside.	entailment
People jump over a mountain crevasse on a rope.	People slide over a mountain crevasse on a slide.	contradiction
A snowboarder on a wide plain of snow	A snow field with a snowboarder on it	entailment
A snowboarder on a wide plain of snow	A snowboarder gliding over a field of snow	neutral
A snowboarder on a wide plain of snow	A snowmobile in a blizzard	neutral
An older women tending to a garden.	The lady is cooking dinner	contradiction
An older women tending to a garden.	The lady is weeding her garden	neutral
An older women tending to a garden.	The lady has a garden	entailment
A man in a black shirt overlooking bike maintenance.	A man destroys a bike.	contradiction
A man in a black shirt overlooking bike maintenance.	A man watches bike repairs.	entailment
A man in a black shirt overlooking bike maintenance.	A man learns bike maintenance.	neutral
A man in a black shirt is looking at a bike in a workshop.	A man is wearing a red shirt	contradiction
A man in a black shirt is looking at a bike in a workshop.	A man is in a black shirt	entailment
A man in a black shirt is looking at a bike in a workshop.	A man is deciding which bike to buy	neutral
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.	A person is in a garage.	entailment
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.	A man repairs bicycles.	entailment
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.	A man waits outside a garage.	contradiction
Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.	Some people stand around.	contradiction
Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.	People run together.	contradiction
Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.	People wait at a station.	entailment
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing behind a blond headed child	entailment
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing on top of a blond headed child	contradiction
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing behind a pretty blond headed child	neutral
A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	A lady sitting on a bench in the park.	contradiction
A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	An old lady pushing a stroller down a busy street.	neutral
A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	A person outside pushing a stroller.	entailment
A dog jumping for a Frisbee in the snow.	A pet is enjoying a game of fetch with his owner.	neutral
A dog jumping for a Frisbee in the snow.	A cat washes his face and whiskers with his front paw.	contradiction
A dog jumping for a Frisbee in the snow.	An animal is outside in the cold weather, playing with a plastic toy.	entailment
People are conversing at a dining table under a canopy.	People at a party are seated for dinner on the lawn.	neutral
People are conversing at a dining table under a canopy.	People are talking underneath a covering.	entailment
People are conversing at a dining table under a canopy.	People are screaming at a boxing match.	contradiction
A girl playing a violin along with a group of people	A girl is washing a load of laundry.	contradiction
A girl playing a violin along with a group of people	A girl is playing an instrument.	entailment
A girl playing a violin along with a group of people	A group of people are playing in a symphony.	neutral
A woman within an orchestra is playing a violin.	A woman is playing a concert.	neutral
A woman within an orchestra is playing a violin.	A woman is playing the violin.	entailment
A woman within an orchestra is playing a violin.	A man is looking in a telescope.	contradiction
Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men going to work	neutral
Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men look at the camera	entailment
Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.	three men sleeping in a tent	contradiction
A Ford car is making a right turn as 3 males are walking across the street behind the car.	A car making a right turn had three pedestrians cross behind it.	entailment
A Ford car is making a right turn as 3 males are walking across the street behind the car.	A sedan was turning a corner as walkers were crossing.	neutral
A Ford car is making a right turn as 3 males are walking across the street behind the car.	A car proceeding straight as pedestrians walked across the road in back of it.	-
Three boys in white shirts are walking behind an older model Ford car.	there are three boys	entailment
Three boys in white shirts are walking behind an older model Ford car.	There are three girls	contradiction
Three boys in white shirts are walking behind an older model Ford car.	The boys are on the street	entailment
Three girls blow out the candles of a cake made of Peeps.	Some people are blowing out candles	entailment
Three girls blow out the candles of a cake made of Peeps.	There are three girls and a cake	entailment
Three girls blow out the candles of a cake made of Peeps.	There are peeps in the garden.	contradiction
A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd is calling for help for the people on the roof.	neutral
A crowd of people looking up at 3 people on the edge of the roof of a building.	The crowd on the ground is watching 3 people on the roof's edge.	entailment
A crowd of people looking up at 3 people on the edge of the roof of a building.	Three people are climbing down the ladder on the building.	contradiction
A woman working long hours.	A woman is working in a factory.	neutral
A woman working long hours.	A woman is working.	entailment
A woman working long hours.	A woman is sleeping.	contradiction
Two teenage girls conversing next to lockers.	Girls talking next to the toilet.	contradiction
Two teenage girls conversing next to lockers.	People talking next to lockers.	entailment
Two teenage girls conversing next to lockers.	Girls talking about their problems next to lockers.	neutral
An old woman watches a man look down at some balls on the ground.	An elderly female is stalking a male.	neutral
An old woman watches a man look down at some balls on the ground.	A gray haired person is looking at a gentleman.	-
An old woman watches a man look down at some balls on the ground.	Two people are sleeping on the train.	contradiction
Two children, both wearing tan coats, are embracing one another.	Two kids are hugging after surviving a horrible car wreck.	neutral
Two children, both wearing tan coats, are embracing one another.	Two kids are hugging.	entailment
Two children, both wearing tan coats, are embracing one another.	Two kids are running down a highway.	contradiction
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.	A couple of child relatives were hugging because they were happy to see each other.	neutral
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.	Two kids were hugging.	entailment
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.	Two youths were pushing each other.	contradiction
A large number of people wearing only white and red are walking on a street.	A large number of people wearing black walking down the street.	contradiction
A large number of people wearing only white and red are walking on a street.	A large number of men walking down the street in red and white.	neutral
A large number of people wearing only white and red are walking on a street.	A large number of people walking on a street.	entailment
A guy riding a motorcycle near junk cars	The man is test driving a motorcycle to decide whether or not he will buy it.	neutral
A guy riding a motorcycle near junk cars	A man is riding a motorcycle.	entailment
A guy riding a motorcycle near junk cars	A man is sitting on a parked motorcycle waiting for his friend.	contradiction
Women of India performing with blue streamers, in beautiful blue costumes.	indian women perform together in gorgeous costumes	entailment
Women of India performing with blue streamers, in beautiful blue costumes.	dogs sniff the air	contradiction
Women of India performing with blue streamers, in beautiful blue costumes.	indian women are performing a religious ritual together	neutral
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.	A person is swimming.	entailment
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.	The swimmer is eating a toasted marshmallow.	contradiction
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.	The swimmer almost drowned after being sucked under a fast current.	neutral
The man in the black wetsuit is walking out of the water.	A man in a wetsuit walks out of the water carrying a surfboard.	neutral
The man in the black wetsuit is walking out of the water.	a person is walking out of water.	entailment
The man in the black wetsuit is walking out of the water.	A man is laying on the beach.	contradiction
Five girls and two guys are crossing a overpass.	The extended family hike together on their family reunion.	neutral
Five girls and two guys are crossing a overpass.	The three men sit and talk about their lives.	contradiction
Five girls and two guys are crossing a overpass.	There are people outside.	entailment
A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of her best friend.	neutral
A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a person.	neutral
A person with a purple shirt is painting an image of a woman on a white wall.	A woman paints a portrait of a monkey.	contradiction
A woman is painting a mural of a woman's face.	There is a woman painting.	entailment
A woman is painting a mural of a woman's face.	There is a woman painting for fun.	neutral
A woman is painting a mural of a woman's face.	There is a man tying his shoes.	contradiction
A couple is eating outside at a table and he is pointing at something.	A couple is eating inside at a table and he is pointing at something.	contradiction
A couple is eating outside at a table and he is pointing at something.	The man is pointing at a purse snatcher.	neutral
A couple is eating outside at a table and he is pointing at something.	People are eating at a table outside.	entailment
Two women walk down a sidewalk along a busy street in a downtown area.	The women were walking downtown because the buses were on strike	neutral
Two women walk down a sidewalk along a busy street in a downtown area.	The women were picking berries in the countryside	contradiction
Two women walk down a sidewalk along a busy street in a downtown area.	The women were walking downtown	entailment
Many people standing outside of a place talking to each other in front of a building that has a sign that says "HI-POINTE."	The people are having a chat before going into the work building.	neutral
Many people standing outside of a place talking to each other in front of a building that has a sign that says "HI-POINTE."	The group of people aren't inide of the building.	entailment
Many people standing outside of a place talking to each other in front of a building that has a sign that says "HI-POINTE."	The people are sitting in the hotel lobby.	contradiction
The flight attendant dressed in yellow demonstrates life vest usage.	A flight attendant is standing in front of passengers.	neutral
The flight attendant dressed in yellow demonstrates life vest usage.	A flight attendant is demonstrating safety procedures before takeoff.	neutral
The flight attendant dressed in yellow demonstrates life vest usage.	A woman is preparing drinks on an airplane.	contradiction
The girls walk down the street.	Girls walk down the street.	entailment
The girls walk down the street.	Girls set down in the street.	contradiction
The girls walk down the street.	Girls were going to the park.	neutral
A man wearing a red uniform and helmet stands on his motorbike.	a man sitting in a car.	contradiction
A man wearing a red uniform and helmet stands on his motorbike.	a person standing.	entailment
A man wearing a red uniform and helmet stands on his motorbike.	a man standing on his motorbike.	entailment
A man of the cloth puts a black substance on a man's forehead.	The man puts something on the other mans head.	entailment
A man of the cloth puts a black substance on a man's forehead.	The women are at the park.	contradiction
A man of the cloth puts a black substance on a man's forehead.	The men are at church.	neutral
A person rolls down a hill riding a wagon as another watches.	Two people are outside.	entailment
A person rolls down a hill riding a wagon as another watches.	A person stares at an empty hill.	contradiction
A person rolls down a hill riding a wagon as another watches.	A child in a wagon rolls down a hill.	neutral
a boy holding onto the wall of an old brick house's raised foundation.	a boy holding onto the wall of an old brick house's raised foundation as construction occurs	neutral
a boy holding onto the wall of an old brick house's raised foundation.	a girl is leaning against the wall	contradiction
a boy holding onto the wall of an old brick house's raised foundation.	a boy is against the wall of a raised foundation	entailment
Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.	Bruce Springsteen is from Florida.	neutral
Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.	Bruce Springsteen is a singer.	entailment
Bruce Springsteen, with one arm outstretched, is singing in the spotlight in a dark concert hall.	Bruce Springsteen is gay	neutral
Six dogs swimming in a river.	Six dogs swim across the river.	neutral
Six dogs swimming in a river.	Six dogs are outdoors.	entailment
Six dogs swimming in a river.	The puppies are setting on the couch.	contradiction
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.	A man and woman have mug shots taken because they have been arrested.	contradiction
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.	A man and woman take selfies while a woman walks by and judges them.	neutral
A man and woman are taking a picture of themselves while a woman in a scarf walks by them.	A man and woman take selfies of themselves.	entailment
a group of people dancing together.	People are dancing.	entailment
a group of people dancing together.	They are doing the tango.	neutral
a group of people dancing together.	No one is dancing.	contradiction
Men wearing blue uniforms sit on a bus.	Men sit on the bus.	entailment
Men wearing blue uniforms sit on a bus.	Men sit on the bus going to work,	neutral
Men wearing blue uniforms sit on a bus.	Men drive the bus into the ocean.	contradiction
Two men climbing on a wooden scaffold.	Two people climbing on a wooden scaffold.	entailment
Two men climbing on a wooden scaffold.	Two women climbing on a wooden scaffold.	contradiction
Two men climbing on a wooden scaffold.	Two sad men climbing on a wooden scaffold.	neutral
A bird is flapping its wings on the water.	The bird is floating on the water.	-
A bird is flapping its wings on the water.	The bird is flying over the trees.	contradiction
A bird is flapping its wings on the water.	The duck is swimming in the lake.	neutral
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in a feild.	entailment
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing in the field because his mother kicked him out of the house.	neutral
A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air.	A young boy is playing video games indoors.	contradiction
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.	They are going fishing.	neutral
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.	Six or seven people are standing on a pier.	entailment
Six or seven people are standing on a pier with a table and a pair of glasses in the foreground.	They are in a boat.	contradiction
A person in a red shirt and black pants hunched over.	A person wears a red shirt.	entailment
A person in a red shirt and black pants hunched over.	The person is a woman.	neutral
A person in a red shirt and black pants hunched over.	The person is wearing a green shirt.	contradiction
This child is on the library steps.	The child is on the school steps.	contradiction
This child is on the library steps.	The child is on the steps.	entailment
This child is on the library steps.	The child is on the steps inside the library.	neutral
The tattooed basketball player is about to dunk the ball.	The man is playing football..	contradiction
The tattooed basketball player is about to dunk the ball.	The person is playing basketball.	entailment
The tattooed basketball player is about to dunk the ball.	The player has a tattoo that says mother.	neutral
a boy in a red hooded top is smiling whilst looking away from his reflection.	A boy in a red hood is happy.	entailment
a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy doesn't want to see his reflection.	neutral
a boy in a red hooded top is smiling whilst looking away from his reflection.	The boy is upset.	contradiction
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.	the man is wearing a gray cap.	entailment
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.	The man is wearing a blue cap.	contradiction
A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt.	The man is cold.	neutral
An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.	An old woman has a light jean jacket.	neutral
An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.	An old woman has a jean jacket.	entailment
An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.	An old woman has no jacket.	contradiction
A newlywed couple laughing and talking amongst themselves.	The couple is having fun.	entailment
A newlywed couple laughing and talking amongst themselves.	The couple just got married.	entailment
A newlywed couple laughing and talking amongst themselves.	The couple is divorced.	contradiction
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.	The man is wearing shorts and a t-shirt as he jogs.	contradiction
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.	The man is moving.	entailment
A black man in a long sleeves white collared shirt and a tie is walking to work in a big city.	The man is wearing work attire and is walking to his job.	entailment
Several younger people sitting in front of a statue.	several young people sitting outside	neutral
Several younger people sitting in front of a statue.	several young people are sitting in an auditorium	contradiction
Several younger people sitting in front of a statue.	several young people sitting in a school courtyard	neutral
A group of adults stands in the bathroom looking down a small child in the bath.	The childs mom is watching her son with her friends.	neutral
A group of adults stands in the bathroom looking down a small child in the bath.	People are in the house.	entailment
A group of adults stands in the bathroom looking down a small child in the bath.	The child is sleeping.	contradiction
A goofy looking woman is singing on stage.	A woman is singing.	entailment
A goofy looking woman is singing on stage.	A woman is reciting poetry on the stage.	contradiction
A goofy looking woman is singing on stage.	A blonde woman is singing and dancing on the stage.	neutral
The girl wearing a brown jacket whilst walking in snow.	A woman is eating pasta in a restaurant.	contradiction
The girl wearing a brown jacket whilst walking in snow.	The lady wearing a jacket is looking for her lost dog.	neutral
The girl wearing a brown jacket whilst walking in snow.	The girl is walking outside.	entailment
A man, woman, and child get their picture taken in front of the mountains.	A family on vacation is posing.	entailment
A man, woman, and child get their picture taken in front of the mountains.	People are outdoors.	entailment
A man, woman, and child get their picture taken in front of the mountains.	A family is in their car.	contradiction
people are standing near water with a boat heading their direction	The people are standing.	entailment
people are standing near water with a boat heading their direction	People are standing near water with a large blue boat heading their direction.	neutral
people are standing near water with a boat heading their direction	People are waiting in line at the restaurant.	contradiction
Four adults eat while sitting on a tile floor.	Two couples eat food on a kitchen floor.	neutral
Four adults eat while sitting on a tile floor.	Two couples play pool in a bar.	contradiction
Four adults eat while sitting on a tile floor.	A group of people eat food.	entailment
A dog standing near snow looking at water.	A cat is laying on the couch.	contradiction
A dog standing near snow looking at water.	Animal is outdoors.	entailment
A dog standing near snow looking at water.	The dog is thinking about going to for a swim.	neutral
An older man leans against a pedestal outside of an ornate building.	An older man is leaning outside his nursing home	neutral
An older man leans against a pedestal outside of an ornate building.	A young man is jogging	contradiction
An older man leans against a pedestal outside of an ornate building.	An older man leans outside a building	entailment
A person in orange clothing rests above a metro entrance.	A person is sitting at a baseball game.	contradiction
A person in orange clothing rests above a metro entrance.	Someone is standing near a metro station.	entailment
A person in orange clothing rests above a metro entrance.	A person is waiting for a train.	neutral
A girl in a blue dress takes off her shoes and eats blue cotton candy.	The girl is eating blue cotton candy at a carnival.	neutral
A girl in a blue dress takes off her shoes and eats blue cotton candy.	The girl in a blue dress is a flower girl at a wedding.	neutral
A girl in a blue dress takes off her shoes and eats blue cotton candy.	The girl is eating while barefoot.	entailment
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.	the man is asian	contradiction
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.	the man is playing	entailment
A black man in a white uniform makes a spectacular reverse slam dunk to the crowd's amazement.	the man is at home sleeping	contradiction
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.	A man is making a sandwich while a crowd gasps in awe.	contradiction
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.	A crowd is watching someone play basketball.	entailment
A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on.	A famous NBA player is playing street ball in front of a crowd.	neutral
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.	A group of people are standing outside.	entailment
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.	An angry military veteran watches as people protest the war.	neutral
A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons.	A man is watching a group of people having a hot dog eating contest.	contradiction
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.	A woman on a bike.	entailment
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.	A woman riding a bike to work.	neutral
A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag.	A woman driving a car.	contradiction
A skateboarding youth does a trick on a rail.	A young person on a skateboard.	entailment
A skateboarding youth does a trick on a rail.	A man painting a tree.	contradiction
A skateboarding youth does a trick on a rail.	A young boy showing his new skateboard tricks to his friends.	neutral
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.	He is wearing a button-up shirt.	neutral
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.	His bald head is exposed.	contradiction
A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him.	A man is crouching on a handrail.	entailment
Girl in a red coat, blue head wrap and jeans is making a snow angel.	A girl in a red coat makes a snow angel for the first time.	neutral
Girl in a red coat, blue head wrap and jeans is making a snow angel.	Girl in a black coat stays indoors away from the snow.	contradiction
Girl in a red coat, blue head wrap and jeans is making a snow angel.	A girl outside plays in the snow.	entailment
A group of people gathered at night watching an event.	The group of friends are asleep.	contradiction
A group of people gathered at night watching an event.	A group of humans are looking at the same direction.	neutral
A group of people gathered at night watching an event.	A group of friends are watching the music concert at night.	neutral
The American footballer in yellow catches the ball whilst under pressure from the payer in white.	The football player is under duress.	entailment
The American footballer in yellow catches the ball whilst under pressure from the payer in white.	The American football player in yellow catches the ball while under pressure from the player in white.	entailment
The American footballer in yellow catches the ball whilst under pressure from the payer in white.	The basketball player shoots a three pointer.	contradiction
A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.	A person is enjoying a sporting event.	neutral
A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.	A person is dancing and singing.	contradiction
A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.	A person is standing outdoors.	entailment
A girl holding a beverage points at a painting.	The girl is in the bathtub	contradiction
A girl holding a beverage points at a painting.	The girl is drinking an alcoholic beverage.	neutral
A girl holding a beverage points at a painting.	The girl has a beverage.	entailment
A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.	A man in a black shirt, in a commercial kitchen, holding up the old meat he took out of a bag.	neutral
A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.	A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.	contradiction
A man in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.	A man in a shirt, in a commercial kitchen, holding up meat he took out of a bag.	entailment
A person in a red shirt is mowing the grass with a green riding mower.	A person in red is swimming in the Olympics.	contradiction
A person in a red shirt is mowing the grass with a green riding mower.	A person in red is moving grass on a John Deer motor.	neutral
A person in a red shirt is mowing the grass with a green riding mower.	A person in red is cutting the grass on a riding mower	entailment
Group of people wearing black shirts riding in an open top vehicle.	A group of people go down the road in a convertible.	entailment
Group of people wearing black shirts riding in an open top vehicle.	The driver was wearing a purple shirt.	contradiction
Group of people wearing black shirts riding in an open top vehicle.	Froends ride in an open top vehicle together.	neutral
Two men prepare a fish at a dock.	Two men have just come in from fishing all day	neutral
Two men prepare a fish at a dock.	Two men are cleaning their fish	entailment
Two men prepare a fish at a dock.	Two men are sitting in a canoe with their fishing poles	contradiction
A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.	The woman is a model.	neutral
A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.	The woman has something on her face.	entailment
A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror.	The woman is blind.	contradiction
A man in an Alaska sweatshirt stands behind a counter.	The man is wearing a tank top.	contradiction
A man in an Alaska sweatshirt stands behind a counter.	The man is from Alaska.	neutral
A man in an Alaska sweatshirt stands behind a counter.	The person behind the counter is a man.	entailment
A large group of people walking in a busy city at night.	People are eating lunch in a restaurant.	contradiction
A large group of people walking in a busy city at night.	People are walking a city.	entailment
A large group of people walking in a busy city at night.	People are outside in a park.	contradiction
A woman, in red and white, and wearing glasses, sits in a room with other people.	A woman is sitting in a room with other people.	entailment
A woman, in red and white, and wearing glasses, sits in a room with other people.	A woman is on her phone sitting in a room.	neutral
A woman, in red and white, and wearing glasses, sits in a room with other people.	A man is fixing his car.	contradiction
A softball player throws the ball to her teammate.	Teammates are competing in a softballs championship.	neutral
A softball player throws the ball to her teammate.	Two people are playing softball.	entailment
A softball player throws the ball to her teammate.	Two softball players are sitting on a bench.	contradiction
A biker races.	A person is riding a bike	entailment
A biker races.	The biker loses the race	neutral
A biker races.	The car is yellow	contradiction
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.	There are two little boys smiling.	entailment
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.	The little boys are crying.	contradiction
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.	The boys are siblings playing with each other.	neutral
Island native fishermen reeling in their nets after a long day's work.	The men caught many fish.	neutral
